Unnamed..0,compound,data,start,stop,area,area_linkpoint,RNAi,Gene,Vial,Total,ratio,ng_uL,ng
606,ethyl decanoate,RNAi3_12132022_76.mzXML,6.78,6.86,38984871,38961278.8,RNAi,3,76,RNAi 3,0.619374676,3.09687338,216.7811366
704,isopropyl decanoate,RNAi3_12132022_76.mzXML,6.935,7.015,2513443,2499696.365,RNAi,3,76,RNAi 3,0.039932489,0.199662446,13.97637125
802,ethyl dodecanoate,RNAi3_12132022_76.mzXML,7.71,7.815,4599490,4587600.085,RNAi,3,76,RNAi 3,0.073074697,0.365373484,25.57614388
900,isopropyl dodecanoate,RNAi3_12132022_76.mzXML,7.84,7.93,548232,540099.84,RNAi,3,76,RNAi 3,0.008710072,0.043550358,3.048525056
998,C18,RNAi3_12132022_76.mzXML,8.575,8.655,62942307,62905792.31,RNAi,3,76,RNAi 3,1,5,350
21,pBQ,RNAi3_12132022_74.mzXML,4.045,4.085,901537,886890.82,RNAi,3,74,RNAi 3,0.060278343,0.301391714,21.09741998
119,meBQ,RNAi3_12132022_74.mzXML,4.685,4.75,1249848,1240619.853,RNAi,3,74,RNAi 3,0.083567026,0.417835131,29.2484592
217,C11:1,RNAi3_12132022_74.mzXML,5.12,5.16,396016,390697.84,RNAi,3,74,RNAi 3,0.006215647,0.031078236,2.175476549
315,C11,RNAi3_12132022_74.mzXML,5.165,5.26,128878903,128859074.2,RNAi,3,74,RNAi 3,2.022811712,10.11405856,707.9840994
413,dimeBQ,RNAi3_12132022_74.mzXML,5.295,5.37,14956234,14913535.18,RNAi,3,74,RNAi 3,1,5,350
511,memeOBQ,RNAi3_12132022_74.mzXML,5.705,5.795,4081452,4070595.76,RNAi,3,74,RNAi 3,0.272893029,1.364465145,95.51256018
609,ethyl decanoate,RNAi3_12132022_74.mzXML,6.78,6.86,12945332,12932112.4,RNAi,3,74,RNAi 3,0.203182744,1.015913721,71.1139605
707,isopropyl decanoate,RNAi3_12132022_74.mzXML,6.935,7.015,4290684,4277804.455,RNAi,3,74,RNAi 3,0.067344194,0.33672097,23.57046791
805,ethyl dodecanoate,RNAi3_12132022_74.mzXML,7.71,7.815,2189414,2177466.325,RNAi,3,74,RNAi 3,0.034363827,0.171819133,12.02733933
903,isopropyl dodecanoate,RNAi3_12132022_74.mzXML,7.84,7.93,547159,539012.6,RNAi,3,74,RNAi 3,0.008587904,0.04293952,3.005766365
1001,C18,RNAi3_12132022_74.mzXML,8.575,8.655,63712753,63678690.2,RNAi,3,74,RNAi 3,1,5,350
23,pBQ,RNAi3_12132022_89.mzXML,4.046688596,4.086630117,1744179,1726903.35,RNAi,3,89,RNAi 3,0.1082012,0.541006,37.87042003
121,meBQ,RNAi3_12132022_89.mzXML,4.685752924,4.750657895,9266829,9255825.69,RNAi,3,89,RNAi 3,0.574873347,2.874366733,201.2056713
219,C11:1,RNAi3_12132022_89.mzXML,5.120116959,5.16005848,1291865,1283889.218,RNAi,3,89,RNAi 3,0.017511995,0.087559974,6.129198157
317,C11,RNAi3_12132022_89.mzXML,5.16505117,5.259912281,348953341,348912184.8,RNAi,3,89,RNAi 3,4.730269084,23.65134542,1655.594179
415,dimeBQ,RNAi3_12132022_89.mzXML,5.294861111,5.369751462,16119775,16076631.27,RNAi,3,89,RNAi 3,1,5,350
513,memeOBQ,RNAi3_12132022_89.mzXML,5.704261696,5.794130117,12791367,12776241.17,RNAi,3,89,RNAi 3,0.793520195,3.967600975,277.7320682
611,ethyl decanoate,RNAi3_12132022_89.mzXML,6.777690058,6.857573099,73452965,73431728.75,RNAi,3,89,RNAi 3,0.995698418,4.978492088,348.4944462
709,isopropyl decanoate,RNAi3_12132022_89.mzXML,6.93246345,7.012346491,4351563,4333636.95,RNAi,3,89,RNAi 3,0.058988012,0.294940061,20.64580426
807,ethyl dodecanoate,RNAi3_12132022_89.mzXML,7.706330409,7.811176901,4215587,4203514.85,RNAi,3,89,RNAi 3,0.057144777,0.285723885,20.00067195
